#EventID|Time|Latitude|Longitude|Depth/Km|Author|Catalog|Contributor|ContributorID|MagType|Magnitude|MagAuthor|EventLocationName
8293541|2016-09-29T05:25:24.990000|42.743|13.171|13.0|SURVEY-INGV||||ML|2.0|--|Rieti
8293791|2016-09-29T05:49:19.070000|42.7488|13.1438|8.8|SURVEY-INGV||||ML|2.1|--|Perugia
8294141|2016-09-29T06:29:17.490000|42.635|13.3042|8.2|SURVEY-INGV||||ML|2.3|--|Rieti
8294291|2016-09-29T06:48:15.710000|42.7887|13.2015|9.8|SURVEY-INGV||||ML|2.0|--|Ascoli Piceno
8295141|2016-09-29T07:51:58.680000|42.8487|13.2622|9.1|SURVEY-INGV||||ML|2.2|--|Ascoli Piceno
8298621|2016-09-29T14:06:52.750000|42.8808|13.2388|9.0|SURVEY-INGV||||ML|2.8|--|Macerata
8301441|2016-09-29T19:08:38.670000|42.7163|13.1823|11.7|SURVEY-INGV||||ML|2.3|--|Rieti
8301451|2016-09-29T19:08:54.460000|42.7423|13.2957|12.2|SURVEY-INGV||||ML|2.2|--|Ascoli Piceno
8301501|2016-09-29T19:09:46.920000|42.8452|13.2382|8.0|SURVEY-INGV||||ML|2.2|--|Ascoli Piceno
8302481|2016-09-29T21:28:59.500000|38.7253|14.1988|19.6|SURVEY-INGV||||ML|2.4|--|Tirreno Meridionale (MARE)
8303761|2016-09-29T23:36:57.590000|42.7733|13.1398|8.5|SURVEY-INGV||||ML|2.3|--|Perugia
8304381|2016-09-30T00:55:42.950000|43.0443|12.8788|7.9|SURVEY-INGV||||ML|2.2|--|Macerata
8306561|2016-09-30T05:53:23.010000|42.666|13.3182|9.4|SURVEY-INGV||||ML|2.3|--|Rieti
8307321|2016-09-30T06:52:13.570000|37.8573|14.2877|5.3|SURVEY-INGV||||ML|2.4|--|Messina
8307381|2016-09-30T06:56:17.950000|42.8715|13.2143|8.6|SURVEY-INGV||||ML|2.0|--|Macerata
8312911|2016-09-30T15:08:00.370000|42.7137|13.2138|10.8|SURVEY-INGV||||ML|2.5|--|Rieti
8314711|2016-09-30T17:57:59.340000|42.8568|13.2223|9.0|SURVEY-INGV||||ML|2.1|--|Macerata
8315581|2016-09-30T19:22:28.190000|42.896|13.2482|9.3|SURVEY-INGV||||Mw|3.3|--|Ascoli Piceno
